					Normalized Odds Ratio	Libraries (out of 6)	Normalized Odds Ratio	Libraries (out of 3)	Normalized Odds Ratio	Libraries (out of 3)
waaP	cpxP.3UTR	CDS	3UTR	-2.82			3.9	1		
ydhQ	cpxP.3UTR	CDS	3UTR	-11.45			3.9	U		
smpB	cyaR	CDS	sRNA	-11.04	0.6	2	2.3	3	3.9	2
ynaE	cyaR	CDS	sRNA	-12.63			3.9	3	1.8	1
ftsI	rybB	CDS	sRNA	-11.63	0.2	1	3.9	3	1.6	3
phoP	micA	CDS	sRNA	-5.07			3.9	1	1.7	U
motA	msrC	CDS	CDS	-5.73	3.3	U			3.9	1
bamE	micA	CDS	sRNA	-12.29	0.9	U	3.9	2	1.8	1
ahpF	iscR	CDS	CDS	-7.92			3.9	U		
pitA	cyaR	CDS	sRNA	-10.83	1.8	1			3.9	3
dapB	cpxP.3UTR	CDS	3UTR	-14.58			3.9	U		
gatB	yodB.serU.IGR	CDS	IGR	-9.71			3.9	1	2.7	1
ydcU	cpxP.3UTR	CDS	3UTR	-2.94			3.9	U		
ompA	glk.3UTR	CDS	3UTR	-9.89	0.6	U	3.9	U	1.3	U
sohB	dsrA	CDS	sRNA	-11.03					3.8	U
sdhB.sucA.IGT	glnA.3UTR	IGT	3UTR	-11.72	3.8	6	2.8	3	3.6	3
isrB	micA	other-ncRNA	sRNA	-9.95			3.8	3	3.3	1
ynaE	arcZ	CDS	sRNA	-12.55			3.8	2	1.4	1
yebZ	cpxP.3UTR	CDS	3UTR	-2.93			3.8	1		
gadE.mdtE.IGT (gadF)	yebO	IGT	CDS	-14.54			3.8	U		
arrS	dapA	cis_AS_with_trans_t	CDS	-3.54			3.8	U		
otsB	cpxP.3UTR	CDS	3UTR	-5.43			3.8	2		
rcsF	sucD.EST3UTR	CDS	3UTR	-9.68	0.9	U	3.8	2	2.7	2
cycA	mgrR	CDS	sRNA	-8.14			3.8	1		
mglB	uhpT	CDS	CDS	-6.01	3.0	2			3.8	1
insA-2	cyaR	CDS	sRNA	-8.82	3.5	2	3.8	2	2.6	2
xylE	cpxP.3UTR	CDS	3UTR	-7.29			3.8	U		
argR.mdh.IGR	cpxP.3UTR	IGR	3UTR	-7.24			3.8	U		
malK	uhpT.EST3UTR	CDS	3UTR	-6.31	3.4	5			3.8	2
uhpT	ygiA	CDS	CDS	-10.06	3.8	1			0.8	1
ribF	rydC	CDS	sRNA	-7.25					3.8	1
yieP	cpxP.3UTR	CDS	3UTR	-12.39	1.8	U	3.7	2	2.3	1
fdoG	ryhB	CDS	sRNA	-11.34					3.7	2
dadA	ryhB	CDS	sRNA	-10.45					3.7	2
mglB	omrB	CDS	sRNA	-8.25			3.7	U	0.9	1
chbC.chbB.IGT	chiX	IGT	sRNA	-20.14			3.7	3	2.7	3
dacC	ryhB	CDS	sRNA	-5.47					3.7	1
asd	gcvB	CDS	sRNA	-11.34	2.0	U			3.7	3
yqeG	cyaR	CDS	sRNA	-16					3.7	U
hupB	yodB.serU.IGR	CDS	IGR	-5.55					3.7	1
tdcC	ryhB	CDS	sRNA	-6.09					3.7	2
fabZ	micA	CDS	sRNA	-3.43			3.7	2	2.2	1
hofM	gcvB	CDS	sRNA	-8.97					3.7	1
rsmI	arcZ	CDS	sRNA	-2.22			3.7	U		
msbA	cpxP.3UTR	CDS	3UTR	-3.26			3.7	1		
sucD	arcZ	CDS	sRNA	-8.01	0.9	U	3.5	3	3.7	3
dcrB	fnrS	CDS	sRNA	-11.23	1.0	2	3.7	U	2.0	2
cstA	cyaR	CDS	sRNA	-11.22	1.0	4	0.8	3	3.7	3
tyrS	ryhB	CDS	sRNA	-6.88					3.7	3
acnB	sdsR	CDS	sRNA	-8.18			3.7	3		
yhjJ.dctA.IGR	cpxP.3UTR	IGR	3UTR	-2.7			3.7	U		
acrA	arrS	CDS	cis_AS_with_trans_t	-8.23			3.6	1		
tnaB	spf	CDS	sRNA	-8.31	1.3	6	3.6	3	2.7	3
fiu	fnrS	CDS	sRNA	-3.22					3.6	3
ompF	micA	CDS	sRNA	-11.36	1.8	6	3.6	3	2.6	2
ydcH	sdsR	CDS	sRNA	-7			3.6	3		
garP	flgL.EST3UTR	CDS	3UTR	-8.69					3.6	1
nuoF	ryhB	CDS	sRNA	-12.02					3.6	2
dksA.sfsA.IGT	micA	IGT	sRNA	-9.92	0.7	1	3.6	2	2.2	3
kgtP	malG.3UTR	CDS	3UTR	-12.62			3.6	U		
hypE.3UTR	ryhB	3UTR	sRNA	-6.99					3.6	2
yhbU	fnrS	CDS	sRNA	-4.84	3.6	4				
ykgF	ryhB	CDS	sRNA	-6.35					3.6	1
cusC.cusF.IGT_AS	narK.narG.IGR	AS	IGR	-16.72					3.6	1
rcsA	omrB	CDS	sRNA	-5.55					3.6	U
ispA	omrB	CDS	sRNA	-7.93			2.5	U	3.6	U
insI-1	gcvB	CDS	sRNA	-2.1	3.6	U				
yohD	cyaR	CDS	sRNA	-10.99	1.4	1	3.6	2	0.8	U
srlA	cpxP.3UTR	CDS	3UTR	-9.76	1.1	U			3.6	3
kdgR	sdsR	CDS	sRNA	-7.49			3.6	U		
focA	gadE.mdtE.IGT (gadF)	CDS	IGT	-3.6			3.6	U		
yjcE	cpxP.3UTR	CDS	3UTR	-3.07			3.6	1		
znuC	micL	CDS	sRNA	-11.14			3.6	U		
dcuA	micF	CDS	sRNA	-14.65			3.3	1	3.6	1
thrS.yniD.IGR	mcaS	IGR	sRNA	-8.43					3.5	U
sucA	micA	CDS	sRNA	-5.92			3.5	3	1.1	1
insL-1.AS	cyaR	AS	sRNA	-9.63					3.5	U
allR	ftsZ	CDS	CDS	-8.49			3.5	1		
yicH	arcZ	CDS	sRNA	-6.42			3.5	U	1.1	U
yniA	mgrR	CDS	sRNA	-4.05			3.5	1		
dsbA	cpxP.3UTR	CDS	3UTR	-13.99			3.5	1	3.0	1
mazG	cpxP.3UTR	CDS	3UTR	-16.45			3.5	U		
rppH	cyaR	CDS	sRNA	-14.49	0.5	U	3.5	3	1.5	2
trpC	gcvB	CDS	sRNA	-13.8					3.5	1
rpsF	dicF	CDS	sRNA	-5.03					3.5	2
tmcA	chiX	CDS	sRNA	-16.9			2.4	2	3.5	2
bfr	glpX.3UTR	CDS	3UTR	-5.44			3.5	2		
talA.maeB.IGR	cpxP.3UTR	IGR	3UTR	-6.61			3.5	1		
nuoC	ryhB	CDS	sRNA	-8.45					3.5	3
ydiJ	gcvB	CDS	sRNA	-14.09	3.0	U	2.8	U	3.5	1
tsaC	fnrS	CDS	sRNA	-10.09	2.2	3	1.4	U	3.4	1
gadY	hybO	cis_AS_with_trans_t	CDS	-5.4			3.4	U		
kptA	cpxP.3UTR	CDS	3UTR	-11.74			3.4	1		
wzzB	cpxP.3UTR	CDS	3UTR	-8.71			3.4	2		
uhpT	ytfK	CDS	CDS	-2.5			3.4	U		
ispA	ryhB	CDS	sRNA	-13.34					3.4	3
ftsA.ftsZ.IGT	rprA	IGT	sRNA	-10.43			3.4	1		
crfC	gcvB	CDS	sRNA	-3.4	2.4	U			3.4	1
glpE	mgrR	CDS	sRNA	-10.62					3.4	U
insAB-1	mcaS	CDS	sRNA	-8.19					3.4	1
rimL	mgrR	CDS	sRNA	-6.44			0.8	U	3.4	U
sugE	arcZ	CDS	sRNA	-1.21			3.4	U		
nirB	ryhB	CDS	sRNA	-9.81					3.4	2
ligB	ryhB	CDS	sRNA	-7.88					3.4	3
ompX	ykgH.EST3UTR	CDS	3UTR	-1.65					3.4	U
mioC	cpxP.3UTR	CDS	3UTR	-7.44	1.8	U	3.4	2	2.3	1
phoA	cpxP.3UTR	CDS	3UTR	-3.74			3.4	U		
flgE	rprA	CDS	sRNA	-4.74	2.4	U			3.3	U
fliC.fliA.IGR	ydcP.EST3UTR	IGR	3UTR	-9.25	3.3	U				
ybeL	rprA	CDS	sRNA	-10.17			3.3	1		
fliP	uhpT.EST3UTR	CDS	3UTR	-6.95	3.3	U				
ldtD.ycbK.IGR	sdsR	IGR	sRNA	-7.83			3.3	3		
yhdW	gcvB	CDS	sRNA	-14.07			3.3	U		
ypjA	arcZ	CDS	sRNA	-9.96			3.3	U		
ymgE	cyaR	CDS	sRNA	-9.48			3.3	2		
ygfF	arcZ	CDS	sRNA	-11.9			3.3	U		
loiP	micA	CDS	sRNA	-7.18			3.3	2		
ampG	rpmI.infC.IGT	CDS	IGT	-7.98					3.3	U
ompF	ynfK.mlc.IGT	CDS	IGT	-5.97	3.3	U				
ilvB	cyaR	CDS	sRNA	-13.81			1.4	1	3.3	U
arrS	dnaJ	cis_AS_with_trans_t	CDS	-7.6			3.3	1		
ucpA.cysP.IGR	ykgH.EST3UTR	IGR	3UTR	-4.65					3.3	U
cdsA	mgrR	CDS	sRNA	-8.64	1.9	U			3.3	2
gltI	sstT	CDS	CDS	-6.01			3.3	U		
argP	gcvB	CDS	sRNA	-14.52	3.3	1			3.2	1
ispU	ompT	CDS	CDS	-5.08					3.3	U
yedQ	cyaR	CDS	sRNA	-10.98			0.9	2	3.3	1
fliC	mgrR	CDS	sRNA	-6.72	1.8	4	3.3	2	0.8	3
yfcE	ryhB	CDS	sRNA	-7.56					3.3	3
rfbA	arcZ	CDS	sRNA	-7.68	2.4	1	3.3	U		
yacL	cpxP.3UTR	CDS	3UTR	-2.15			3.3	1		
fliC	G0-10699	CDS	other-ncRNA	-7.7					3.3	1
lrp	micA	CDS	sRNA	-11.38			3.3	3		
yhgN	micF	CDS	sRNA	-14.01			3.2	U		
galU	uhpT.EST3UTR	CDS	3UTR	-5.21					3.2	1
ygaH	mcaS	CDS	sRNA	-10.44					3.2	U
purA	ybiJ.ybiC.IGR	CDS	IGR	-9.62					3.2	1
uhpT	yaiL	CDS	CDS	-8.03	1.7	U			3.2	U
nagE	uhpT.EST3UTR	CDS	3UTR	-9.31	3.2	1			2.1	3
fabF	micL	CDS	sRNA	-14	1.0	U	3.2	1	3.2	U
G0-10697	fnrS	other-ncRNA	sRNA	-4.32					3.2	U
ryeA	narP.ccmH.IGR	other-ncRNA	IGR	-8.7			3.2	2		
icd	tnaC	CDS	CDS	-6.76			3.2	U		
glnP.glnH.IGT	rprA	IGT	sRNA	-7.87			3.2	U		
ubiC	uhpT.EST3UTR	CDS	3UTR	-4.09	3.2	U				
yjiA	spf	CDS	sRNA	-6.72	3.2	U			2.7	1
isrC	gcvB	other-ncRNA	sRNA	-6.71					3.2	1
rpoS	mgrR	CDS	sRNA	-9.53	1.0	1	3.2	2	1.9	1
parC	mgrR	CDS	sRNA	-11.16					3.2	1
ynaE	cpxP.3UTR	CDS	3UTR	-2.48			3.2	2		
mlaA	omrB	CDS	sRNA	-6.98					3.2	1
mlaA	cpxP.3UTR	CDS	3UTR	-8			3.2	2		
glpF	rbsB.rbsK.IGT	CDS	IGT	-8.89	3.2	U	1.7	1	0.3	1
ytfJ.ytfK.IGR	ykgH.EST3UTR	IGR	3UTR	-8.94					3.1	U
arrS	hdhA	cis_AS_with_trans_t	CDS	-3.4			3.1	U		
entE	oxyS	CDS	sRNA	-7.28					3.1	1
secM	cpxP.3UTR	CDS	3UTR	-13.08	0.9	1	3.1	3	1.5	U
lhgO	cpxP.3UTR	CDS	3UTR	-7.5			3.1	U		
galU	uhpT	CDS	CDS	-7.59	3.1	1				
waaP	gcvB	CDS	sRNA	-8.45	2.9	U			3.1	1
fhuE	gcvB	CDS	sRNA	-7.59					3.1	1
waaY	arcZ	CDS	sRNA	-5.55					3.1	1
yfhM	gcvB	CDS	sRNA	-8.94	1.4	U			3.1	1
nsrR	uhpT.EST3UTR	CDS	3UTR	-7.25	0.9	U			3.1	1
rssB	sdsR	CDS	sRNA	-11.68			3.1	U		
yniC	mgrR	CDS	sRNA	-7.32					3.1	2
gsiB	arcZ	CDS	sRNA	-4.55			3.1	1	1.6	U
yfdK.yfdI.IGR	arcZ	IGR	sRNA	-4.42			3.1	1	1.7	U
motB	mgrR	CDS	sRNA	-9.88	3.1	5			1.7	1
fimA	sucD.EST3UTR	CDS	3UTR	-5.16			3.1	U		
btuB	cspA.3UTR	CDS	3UTR	-4.62	3.1	U				
ubiC	cyaR	CDS	sRNA	-8.98	1.6	1	2.7	3	3.1	3
dnaT	arcZ	CDS	sRNA	-8.9			3.1	1		
msrB	ryhB	CDS	sRNA	-12.34					3.1	2
grxD	fnrS	CDS	sRNA	-16.52	1.2	2	3.0	1	1.5	1
nuoA.lrhA.IGR	gcvB	IGR	sRNA	-5.56					3.0	1
ytfQ	omrB	CDS	sRNA	-12.53			3.0	U		
lrp	omrB	CDS	sRNA	-10.48			3.0	1		
ompA	pncB	CDS	CDS	-9.62			3.0	U		
ackA	sucD	CDS	CDS	-9.24			0.9	U	3.0	3
htrL	cyaR	CDS	sRNA	-4.67			3.0	U	1.4	1
talB	uhpT	CDS	CDS	-7.22	3.0	U			2.5	2
arcZ.elbB.IGR	arcZ	IGR	sRNA	-18.3			3.0	U		
leuP.leuQ.IGT_AS	cyaR	AS	sRNA	-11.64					3.0	3
nikB	cyaR	CDS	sRNA	-4.43	3.0	1				
gabT.gabP.IGT	cpxP.3UTR	IGT	3UTR	-9.96			3.0	1		
cirA	yeiG.AS	CDS	AS	-10.47					3.0	U
tktA	omrB	CDS	sRNA	-6.75			3.0	U		
yeeE	cyaR	CDS	sRNA	-9.15			3.0	2		
yqjA	cpxP.3UTR	CDS	3UTR	-3.87			3.0	1		
dppA	rdlA	CDS	cis_AS_with_trans_t	-5.93			3.0	U		
csiE	micA	CDS	sRNA	-6.02			3.0	1		
glpF	rprA	CDS	sRNA	-8.9			3.0	1		
tus	cyaR	CDS	sRNA	-13.67			3.0	U		
malI	fnrS	CDS	sRNA	-6.57	0.7	1			3.0	U
argP	arcZ	CDS	sRNA	-5.42			3.0	1		
mntH	cyaR	CDS	sRNA	-5.18			3.0	1	1.6	1
G0-10700	arcZ	other-ncRNA	sRNA	-11.35			3.0	2		
chiP	ryhB	CDS	sRNA	-6.21					3.0	3
bglX	uhpT.EST3UTR	CDS	3UTR	-7.71	3.0	U				
ubiE	uhpT.EST3UTR	CDS	3UTR	-5.76					2.9	U
ompA	sroD	CDS	other-ncRNA	-6.81			2.9	U	1.7	U
aldA.EST3UTR	micA	3UTR	sRNA	-1.79			2.9	U		
sdaC	malM.EST3UTR	CDS	3UTR	-7.11			2.9	U		
yhjG	yhjH	CDS	CDS	-11.32	0.9	U			2.9	1
yebW	cyaR	CDS	sRNA	-11.05			1.3	1	2.9	U
flhC	mcaS	CDS	sRNA	-8.53	1.2	3			2.9	3
ydiJ	arcZ	CDS	sRNA	-3.14			2.9	1	2.6	1
glgA	uhpT.EST3UTR	CDS	3UTR	-7.11					2.9	U
tdcA	oxyS	CDS	sRNA	-17.08	2.9	U				
rbsC	cyaR	CDS	sRNA	-14.45	1.3	6	2.9	3	1.9	3
zapC	cyaR	CDS	sRNA	-9.5			2.9	U		
aceK	ycaK.EST3UTR	CDS	3UTR	-15.78			2.9	1		
gatC	flgL.EST3UTR	CDS	3UTR	-6.85			2.9	2	0.5	1
pstS.glmS.IGR	gcvB	IGR	sRNA	-7.6	2.9	U				
sbcB	ryhB	CDS	sRNA	-8.39					2.9	U
thrL	gcvB	CDS	sRNA	-11.61	1.0	U	2.9	3	2.2	3
rstB	ryhB	CDS	sRNA	-13.3					2.9	2
nudF	arcZ	CDS	sRNA	-8.45			2.9	1	1.9	U
yoaC	arcZ	CDS	sRNA	-14.56			2.9	U		
emrD	cyaR	CDS	sRNA	-4.11			2.8	1		
glpT	oxyS	CDS	sRNA	-8.5	2.8	1				
tas	arcZ	CDS	sRNA	-2			2.8	U		
ucpA	arcZ	CDS	sRNA	-2.46			2.8	2	0.6	1
oppD	cyaR	CDS	sRNA	-7.25			1.4	2	2.8	1
yddB	ryhB	CDS	sRNA	-5.79					2.8	U
insA-7	cyaR	CDS	sRNA	-4.45			2.8	1		
wcaM.galF.IGR	gcvB	IGR	sRNA	-12.44					2.8	1
tolB	cpxP.3UTR	CDS	3UTR	-8.34			2.8	2		
sodB	ryhB	CDS	sRNA	-4.13					2.8	3
wbbK.insH-7.IGR	insH-7.gnd.IGR	IGR	IGR	-9.73	2.8	U				
tdcB.tdcA.IGT	oxyS	IGT	sRNA	-2.5					2.8	U
ygaZ	cyaR	CDS	sRNA	-8.11	1.0	U			2.8	1
yqjA	sdsR	CDS	sRNA	-10.83			2.8	U		
yibF	cspA.3UTR	CDS	3UTR	-12.98	2.8	U				
yjdC	cyaR	CDS	sRNA	-8.36			2.8	3		
rpsF	ygaM	CDS	CDS	-7.64			2.8	U		
emrE	chiX	CDS	sRNA	-10.02					2.8	1
rdoA	micA	CDS	sRNA	-5.69	0.6	U	2.8	2	1.0	1
yoaC	cpxP.3UTR	CDS	3UTR	-10.05			2.8	2		
aceK	malT	CDS	CDS	-14.04			2.7	2		
gcvT.ubiI.IGR	fnrS	IGR	sRNA	-8.5					2.7	U
fiu	mcaS	CDS	sRNA	-9.41					2.7	2
hcaR	cpxP.3UTR	CDS	3UTR	-4.02			2.7	1		
hemD	uhpT.EST3UTR	CDS	3UTR	-10.91	0.8	U			2.7	U
tdcB	uhpT.EST3UTR	CDS	3UTR	-9.62	1.9	6			2.7	2
trpB	arcZ	CDS	sRNA	-10.76			2.7	1		
yggX.mltC.IGT	gcvB	IGT	sRNA	-16	2.7	6	1.0	U	2.5	3
motA	nuoC.nuoB.IGT	CDS	IGT	-8.04	2.7	U			2.2	U
ompT	omrB	CDS	sRNA	-12.56	1.5	U			2.7	2
yfcD	cyaR	CDS	sRNA	-7.4			2.7	U		
nanC	gcvB	CDS	sRNA	-12.02	1.2	2			2.7	2
aceF	fliC.EST3UTR	CDS	3UTR	-6.6	2.7	1			1.7	U
cycA.fklB.IGR	arcZ	IGR	sRNA	-7.19			2.7	1		
hscB	ryhB	CDS	sRNA	-7.42					2.7	3
rdlA.ldrB.IGR	arcZ	IGR	sRNA	-4.41					2.7	U
rpsG	uhpT.EST3UTR	CDS	3UTR	-9.54	2.1	5	2.7	1	1.5	3
yjhB	cyaR	CDS	sRNA	-3.41					2.7	1
gltI	rprA	CDS	sRNA	-12.46			2.7	U		
fabF	oxyS	CDS	sRNA	-8.91	0.9	U			2.7	1
pgpB	cyaR	CDS	sRNA	-10.05	0.9	U	2.7	3	1.9	2
rsmH	ybiJ.ybiC.IGR	CDS	IGR	-10.67					2.6	U
pyrG	glmZ.hemY.IGR	CDS	IGR	-3.42					2.6	U
hflX	omrB	CDS	sRNA	-9.35			2.6	1		
ycjD	micA	CDS	sRNA	-5.75			2.6	U	2.1	2
gltW	rrsH.AS	tRNA	AS	-8.21					2.6	1
yciE.3UTR	sucD.EST3UTR	3UTR	3UTR	-7.32			2.6	U		
ompA	malG.3UTR	CDS	3UTR	-9.81	1.6	2	2.3	2	2.6	3
trmJ	trmJ.iscR.IGR	CDS	IGR	-9.66	2.6	U				
murA.ibaG.IGT	mgrR	IGT	sRNA	-7.94					2.6	U
pmrD	cpxP.3UTR	CDS	3UTR	-3.13			2.6	U		
sstT	uhpT.EST3UTR	CDS	3UTR	-3.66					2.6	1
yjhC	mgrR	CDS	sRNA	-5.68					2.6	1
folA	arcZ	CDS	sRNA	-10.12			0.9	U	2.6	2
ldtE	micA	CDS	sRNA	-4.77			2.6	1		
glpT	cpxP.3UTR	CDS	3UTR	-9.9	0.7	U	2.6	3	0.9	1
deoD	gcvH	CDS	CDS	-14.64					2.6	1
ompF	yhcN.EST3UTR	CDS	3UTR	-8.15					2.6	1
arrS	sdhE	cis_AS_with_trans_t	CDS	-7.81			2.6	U		
yfdK.yfdI.IGR	rprA	IGR	sRNA	-8.64			2.6	1		
artM	cpxP.3UTR	CDS	3UTR	-6.97			2.6	U		
fabA	omrB	CDS	sRNA	-8.79			0.9	U	2.6	1
amiA	uhpT.EST3UTR	CDS	3UTR	-4.87					2.6	1
yciO.yciQ.IGT	cpxP.3UTR	IGT	3UTR	-14.38			2.6	U		
speB.loiP.IGR	arcZ	IGR	sRNA	-4.16			1.1	1	2.6	2
prfB	micF	CDS	sRNA	-14.67			2.6	1		
ydcS	cpxP.3UTR	CDS	3UTR	-11.52			2.6	2		
cobU	cyaR	CDS	sRNA	-6.22					2.6	1
rpsJ	yhcN.EST3UTR	CDS	3UTR	-9.93					2.5	1
nrdF	omrB	CDS	sRNA	-11.04					2.5	U
fecA	uhpT.EST3UTR	CDS	3UTR	-5.26					2.5	2
nirC	narK.narG.IGR	CDS	IGR	-3.13	2.5	U				
paaX	ryhB	CDS	sRNA	-8.29					2.5	1
tehB	ryhB	CDS	sRNA	-16.44					2.5	2
xylF	arcZ	CDS	sRNA	-7.66			2.5	1		
btuE	cpxP.3UTR	CDS	3UTR	-6.93			2.5	U		
rdoA	arcZ	CDS	sRNA	-2.88			2.5	2		
gcvH	ryhB	CDS	sRNA	-6.86					2.5	3
ytfP	cpxP.3UTR	CDS	3UTR	-2.44			2.5	U		
ycbJ	cpxP.3UTR	CDS	3UTR	-10.02			2.5	1		
gabD	sdsR	CDS	sRNA	-3.79			2.5	1		
focA	mcaS	CDS	sRNA	-11.57	2.5	2			2.5	2
fabZ	ryhB	CDS	sRNA	-9.29					2.5	3
ratB	mgrR	CDS	sRNA	-4.01			2.5	U	1.7	1
smg	cpxP.3UTR	CDS	3UTR	-8.45			2.5	3	0.9	1
rbsK	arcZ	CDS	sRNA	-7.43			2.5	1	2.5	2
gadC	sdsR	CDS	sRNA	-10.79			2.5	2		
yidD	arcZ	CDS	sRNA	-9.97					2.5	2
flgL	ybiJ.ybiC.IGR	CDS	IGR	-6.54					2.5	U
tamA	cyaR	CDS	sRNA	-13.05			1.3	U	2.5	U
cspD	mgrR	CDS	sRNA	-10.43	2.5	6	0.6	3	2.1	3
hisJ	micA	CDS	sRNA	-8.17			2.5	1		
smtA	cyaR	CDS	sRNA	-16.31	2.0	U	2.5	2	1.1	1
srlA	spf	CDS	sRNA	-9.16	1.1	5			2.5	3
ydhC	arcZ	CDS	sRNA	-2.9					2.5	1
gcvT	arcZ	CDS	sRNA	-7.1	1.4	1	2.5	3	1.6	3
hdeD	sdsR	CDS	sRNA	-2.95			2.5	U		
hflX	omrA	CDS	sRNA	-10.74			2.5	3		
fbaB	fbaB.gatY.IGR	CDS	IGR	-8.67			2.5	U		
cpxP.3UTR	yehA.EST3UTR	3UTR	3UTR	-2.86			2.5	U		
queE	fnrS	CDS	sRNA	-5.42					2.5	2
tnaC.tnaA.IGT	arcZ	IGT	sRNA	-10.56	0.4	6	2.5	3	1.1	2
paaX	mgrR	CDS	sRNA	-9.29					2.5	1
yejA	spf	CDS	sRNA	-6.64					2.5	1
hemN	ryhB	CDS	sRNA	-12.96					2.5	3
rplU	dicF	CDS	sRNA	-5.89					2.4	1
yqeB.yqeA.IGR	arcZ	IGR	sRNA	-3.87			2.4	1		
secD	arcZ	CDS	sRNA	-7.38	1.5	1	2.4	2	1.2	3
crcB.tatE.IGR	cyaR	IGR	sRNA	-9.31	2.4	U	2.0	1		
insL-1.AS	rpsJ	AS	CDS	-7.51	2.4	U				
lpxD.fabZ.IGT	cpxP.3UTR	IGT	3UTR	-9.05	1.1	U			2.4	1
ykgH.EST3UTR	cirA.EST3UTR	3UTR	3UTR	-1.27					2.4	1
patD	sdsR	CDS	sRNA	-9.99			2.4	U		
ves	omrB	CDS	sRNA	-8.46					2.4	1
bhsA	ompF	CDS	CDS	-12.06	2.0	U			2.4	U
motB	uhpT.EST3UTR	CDS	3UTR	-8.22	2.4	1				
paaJ	cyaR	CDS	sRNA	-7.94			2.4	1		
yhaO	ryhB	CDS	sRNA	-9.51					2.4	U
ycbJ	omrA	CDS	sRNA	-8.41			2.4	1		
mtfA	cyaR	CDS	sRNA	-8.46			2.4	2	1.0	1
tnaB	oxyS	CDS	sRNA	-7.12					2.4	U
glpT	arcZ	CDS	sRNA	-9.5	2.0	5	2.4	3	1.5	3
ilvE.ilvD.IGT	gcvB	IGT	sRNA	-10.21					2.4	U
proP	ryhB	CDS	sRNA	-7.48					2.4	3
rppH	gcvB	CDS	sRNA	-11.66	1.3	2			2.4	1
nrfG.gltP.IGR	gcvB	IGR	sRNA	-11.56	1.0	U			2.4	2
ompF	yodB.serU.IGR	CDS	IGR	-9.53	0.6	U			2.4	1
rseX.hchA.IGR	arcZ	IGR	sRNA	-4.15			2.4	1		
fiu	rybB	CDS	sRNA	-8.34					2.4	1
ypfM	uhpT.EST3UTR	CDS	3UTR	-10.74	2.4	2			1.0	2
uspE	cyaR	CDS	sRNA	-11.79	0.8	6	2.4	3	2.2	3
waaS	ryhB	CDS	sRNA	-6.52					2.4	U
fadI	cpxP.3UTR	CDS	3UTR	-9.49			2.4	2		
yfeH	chiX	CDS	sRNA	-7.6					2.4	3
plsB	arcZ	CDS	sRNA	-10.37			2.4	1	0.7	U
gadE.mdtE.IGT (gadF)	ygdI	IGT	CDS	-10.38			2.4	U		
cytR	ftsN	CDS	CDS	-10.53					2.4	U
sstT	arcZ	CDS	sRNA	-9.01			2.3	2		
zwf	fnrS	CDS	sRNA	-6.01	1.8	1			2.3	1
nudL	fnrS	CDS	sRNA	-6.06	2.0	1			2.3	U
yehA.EST3UTR	ryjA	3UTR	sRNA	-6.1			2.3	U		
der	ryhB	CDS	sRNA	-15.53					2.3	1
dinD	ryhB	CDS	sRNA	-9.06					2.3	U
rpsT	xylB.xylA.IGT	CDS	IGT	-4.61			2.3	U		
nadE	chiX	CDS	sRNA	-9.27					2.3	1
fliC	ybiJ.EST3UTR	CDS	3UTR	-7.39	2.3	U			0.9	1
glnH	motA	CDS	CDS	-8.54			2.3	U	1.4	1
hupB	sdsR	CDS	sRNA	-6.89			2.3	2		
oppA	malG.3UTR	CDS	3UTR	-1.71			2.3	U		
fliC.fliA.IGR	astE.spy.IGR	IGR	IGR	-8.08					2.3	U
yfgO	cyaR	CDS	sRNA	-10.35			2.3	U		
uhpT	uspE	CDS	CDS	-2.44	2.3	2				
udp	oxyS	CDS	sRNA	-8.91	1.7	U			2.3	1
ykfB	omrB	CDS	sRNA	-15.18					2.3	U
metQ.metI.IGT	gcvB	IGT	sRNA	-6.32					2.3	1
menI	cyaR	CDS	sRNA	-9.21			2.3	1	1.2	1
yoaF	mgrR	CDS	sRNA	-8.14					2.3	1
ompR	omrB	CDS	sRNA	-11.54					2.3	U
yciC	cyaR	CDS	sRNA	-5.72					2.3	1
flhD	cyaR	CDS	sRNA	-9.86			2.3	1		
yddB	gcvB	CDS	sRNA	-14.98					2.2	1
slyB	mgrR	CDS	sRNA	-15.72			2.2	U	0.6	1
yjiA	arcZ	CDS	sRNA	-2.23					2.2	U
ompC	rybB	CDS	sRNA	-10.99	0.2	2	2.2	3	0.7	3
miaA.hfq.IGT	sdsR	IGT	sRNA	-8.33			2.2	1		
leuV.leuP.IGT_AS	micA	AS	sRNA	-12.77					2.2	2
nlpE	cpxP.3UTR	CDS	3UTR	-7.67			2.2	U		
yfcE	cyaR	CDS	sRNA	-3.69					2.2	1
rssA	arcZ	CDS	sRNA	-8.15			2.0	1	2.2	U
arrS	cydA	cis_AS_with_trans_t	CDS	-6.41			2.2	3		
nanK	arcZ	CDS	sRNA	-15.22					2.2	1
elaB	gadE.mdtE.IGT (gadF)	CDS	IGT	-10.41			2.2	3		
rdgC	cyaR	CDS	sRNA	-8.85			2.2	U		
dctA	gadY	CDS	cis_AS_with_trans_t	-8.9			2.2	U		
ompW	ygaU	CDS	CDS	-14.26			2.2	U		
dcuA	cyaR	CDS	sRNA	-9.9	0.3	U	2.2	3	0.7	1
smg	omrB	CDS	sRNA	-14.07			2.2	1	1.3	1
panD	arcZ	CDS	sRNA	-9			2.2	2		
lacY.lacZ.IGT	cpxP.3UTR	IGT	3UTR	-2.4	2.2	U				
